cost_type:  cups_gone
revenue_type:  profit
Small Cup : 100 // 50
Large Cup : 120 // 60
norm_min = min(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
norm_max = max(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
Starting out with Budget =  500
 N = 280, Offered_price = 105.26, result=1, Small=355, 
 N = 281, Offered_price = 113.68, result=1, Small=355, 
 N = 282, Offered_price = 113.68, result=0, Small=354, 
 N = 283, Offered_price = 104.21, result=1, Small=354, 
 N = 284, Offered_price = 104.21, result=1, Small=354, 
 N = 285, Offered_price = 106.32, result=1, Small=354, 
 N = 286, Offered_price = 108.42, result=0, Small=353, 
 N = 287, Offered_price = 115.79, result=0, Small=352, 
 N = 288, Offered_price = 102.11, result=0, Small=351, 
 N = 289, Offered_price = 104.21, result=1, Small=351, 
 N = 290, Offered_price = 104.21, result=1, Small=351, 
 N = 291, Offered_price = 104.21, result=0, Small=350, 
 N = 292, Offered_price = 112.63, result=1, Small=350, 
 N = 293, Offered_price = 112.63, result=1, Small=350, 
 N = 294, Offered_price = 112.63, result=0, Small=349, 
 N = 295, Offered_price = 114.74, result=0, Small=348, 
 N = 296, Offered_price = 116.84, result=0, Small=347, 
 N = 297, Offered_price = 117.89, result=0, Small=346, 
 N = 298, Offered_price = 118.95, result=0, Small=345, 
 N = 299, Offered_price = 120.00, result=0, Small=344, 
 N = 300, Offered_price = 111.58, result=0, Small=343, 
 N = 301, Offered_price = 106.32, result=0, Small=342, 
 N = 302, Offered_price = 105.26, result=0, Small=341, 
 N = 303, Offered_price = 103.16, result=0, Small=340, 
 N = 304, Offered_price = 110.53, result=1, Small=340, 
 N = 305, Offered_price = 110.53, result=1, Small=340, 
 N = 306, Offered_price = 110.53, result=1, Small=340, 
 N = 307, Offered_price = 110.53, result=0, Small=339, 
 N = 308, Offered_price = 107.37, result=0, Small=338, 
 N = 309, Offered_price = 109.47, result=0, Small=337, 
 N = 310, Offered_price = 113.68, result=1, Small=337, 
 N = 311, Offered_price = 113.68, result=0, Small=336, 
 N = 312, Offered_price = 112.63, result=1, Small=336, 
 N = 313, Offered_price = 112.63, result=1, Small=336, 
 N = 314, Offered_price = 112.63, result=1, Small=336, 
 N = 315, Offered_price = 112.63, result=1, Small=336, 
 N = 316, Offered_price = 112.63, result=0, Small=335, 
 N = 317, Offered_price = 114.74, result=0, Small=334, 
 N = 318, Offered_price = 116.84, result=0, Small=333, 
 N = 319, Offered_price = 117.89, result=0, Small=332, 
 N = 320, Offered_price = 118.95, result=0, Small=331, 
 N = 321, Offered_price = 120.00, result=0, Small=330, 
 N = 322, Offered_price = 115.79, result=0, Small=329, 
 N = 323, Offered_price = 111.58, result=1, Small=329, 
 N = 324, Offered_price = 111.58, result=1, Small=329, 
 N = 325, Offered_price = 111.58, result=0, Small=328, 
 N = 326, Offered_price = 108.42, result=1, Small=328, 
 N = 327, Offered_price = 100.00, result=1, Small=328, 
 N = 328, Offered_price = 105.26, result=1, Small=328, 
 N = 329, Offered_price = 108.42, result=0, Small=327, 
 N = 330, Offered_price = 107.37, result=0, Small=326, 
 N = 331, Offered_price = 109.47, result=0, Small=325, 
 N = 332, Offered_price = 110.53, result=0, Small=324, 
 N = 333, Offered_price = 106.32, result=1, Small=324, 
 N = 334, Offered_price = 105.26, result=1, Small=324, 
 N = 335, Offered_price = 106.32, result=0, Small=323, 
 N = 336, Offered_price = 112.63, result=1, Small=323, 
 N = 337, Offered_price = 112.63, result=0, Small=322, 
 N = 338, Offered_price = 113.68, result=1, Small=322, 
 N = 339, Offered_price = 113.68, result=0, Small=321, 
 N = 340, Offered_price = 114.74, result=0, Small=320, 
 N = 341, Offered_price = 116.84, result=0, Small=319, 
 N = 342, Offered_price = 117.89, result=0, Small=318, 
 N = 343, Offered_price = 118.95, result=0, Small=317, 
 N = 344, Offered_price = 120.00, result=0, Small=316, 
 N = 345, Offered_price = 105.26, result=1, Small=316, 
 N = 346, Offered_price = 105.26, result=1, Small=316, 
 N = 347, Offered_price = 111.58, result=0, Small=315, 
 N = 348, Offered_price = 115.79, result=0, Small=314, 
 N = 349, Offered_price = 107.37, result=1, Small=314, 
 N = 350, Offered_price = 109.47, result=0, Small=313, 
 N = 351, Offered_price = 104.21, result=0, Small=312, 
 N = 352, Offered_price = 102.11, result=1, Small=312, 
 N = 353, Offered_price = 105.26, result=0, Small=311, 
 N = 354, Offered_price = 108.42, result=1, Small=311, 
 N = 355, Offered_price = 110.53, result=0, Small=310, 
 N = 356, Offered_price = 108.42, result=1, Small=310, 
 N = 357, Offered_price = 108.42, result=1, Small=310, 
 N = 358, Offered_price = 107.37, result=0, Small=309, 
 N = 359, Offered_price = 113.68, result=0, Small=308, 
 N = 360, Offered_price = 100.00, result=1, Small=308, 
 N = 361, Offered_price = 102.11, result=1, Small=308, 
 N = 362, Offered_price = 108.42, result=1, Small=308, 
 N = 363, Offered_price = 112.63, result=1, Small=308, 
 N = 364, Offered_price = 112.63, result=0, Small=307, 
 N = 365, Offered_price = 108.42, result=0, Small=306, 
 N = 366, Offered_price = 114.74, result=1, Small=306, 
 N = 367, Offered_price = 114.74, result=0, Small=305, 
 N = 368, Offered_price = 116.84, result=0, Small=304, 
 N = 369, Offered_price = 117.89, result=0, Small=303, 
 N = 370, Offered_price = 118.95, result=0, Small=302, 
 N = 371, Offered_price = 120.00, result=0, Small=301, 
 N = 372, Offered_price = 106.32, result=1, Small=301, 
 N = 373, Offered_price = 103.16, result=0, Small=300, 
 N = 374, Offered_price = 102.11, result=1, Small=300, 
 N = 375, Offered_price = 106.32, result=1, Small=300, 
 N = 376, Offered_price = 115.79, result=0, Small=299, 
 N = 377, Offered_price = 106.32, result=1, Small=299, 
 N = 378, Offered_price = 111.58, result=1, Small=299, 
 N = 379, Offered_price = 102.11, result=1, Small=299, 
 N = 380, Offered_price = 111.58, result=1, Small=299, 
 N = 381, Offered_price = 111.58, result=0, Small=298, 
 N = 382, Offered_price = 109.47, result=1, Small=298, 
 N = 383, Offered_price = 106.32, result=0, Small=297, 
 N = 384, Offered_price = 102.11, result=1, Small=297, 
 N = 385, Offered_price = 109.47, result=0, Small=296, 
 N = 386, Offered_price = 110.53, result=0, Small=295, 
 N = 387, Offered_price = 107.37, result=1, Small=295, 
 N = 388, Offered_price = 105.26, result=1, Small=295, 
 N = 389, Offered_price = 114.74, result=0, Small=294, 
 N = 390, Offered_price = 116.84, result=0, Small=293, 
 N = 391, Offered_price = 117.89, result=1, Small=293, 
 N = 392, Offered_price = 117.89, result=0, Small=292, 
 N = 393, Offered_price = 118.95, result=0, Small=291, 
 N = 394, Offered_price = 120.00, result=0, Small=290, 
 N = 395, Offered_price = 113.68, result=1, Small=290, 
 N = 396, Offered_price = 113.68, result=0, Small=289, 
 N = 397, Offered_price = 102.11, result=1, Small=289, 
 N = 398, Offered_price = 112.63, result=1, Small=289, 
 N = 399, Offered_price = 112.63, result=1, Small=289, 
 N = 400, Offered_price = 112.63, result=0, Small=288, 
 N = 401, Offered_price = 105.26, result=1, Small=288, 
 N = 402, Offered_price = 102.11, result=1, Small=288, 
 N = 403, Offered_price = 107.37, result=0, Small=287, 
 N = 404, Offered_price = 108.42, result=0, Small=286, 
 N = 405, Offered_price = 100.00, result=1, Small=286, 
 N = 406, Offered_price = 102.11, result=1, Small=286, 
 N = 407, Offered_price = 105.26, result=0, Small=285, 
 N = 408, Offered_price = 115.79, result=0, Small=284, 
 N = 409, Offered_price = 111.58, result=1, Small=284, 
 N = 410, Offered_price = 111.58, result=1, Small=284, 
 N = 411, Offered_price = 111.58, result=0, Small=283, 
 N = 412, Offered_price = 102.11, result=1, Small=283, 
 N = 413, Offered_price = 117.89, result=0, Small=282, 
 N = 414, Offered_price = 104.21, result=1, Small=282, 
 N = 415, Offered_price = 109.47, result=0, Small=281, 
 N = 416, Offered_price = 102.11, result=1, Small=281, 
 N = 417, Offered_price = 104.21, result=0, Small=280, 
 N = 418, Offered_price = 116.84, result=0, Small=279, 
 N = 419, Offered_price = 118.95, result=0, Small=278, 
 N = 420, Offered_price = 120.00, result=0, Small=277, 
 N = 421, Offered_price = 114.74, result=0, Small=276, 
 N = 422, Offered_price = 110.53, result=0, Small=275, 
 N = 423, Offered_price = 113.68, result=0, Small=274, 
 N = 424, Offered_price = 106.32, result=0, Small=273, 
 N = 425, Offered_price = 102.11, result=1, Small=273, 
 N = 426, Offered_price = 112.63, result=1, Small=273, 
 N = 427, Offered_price = 112.63, result=0, Small=272, 
 N = 428, Offered_price = 107.37, result=0, Small=271, 
 N = 429, Offered_price = 102.11, result=1, Small=271, 
 N = 430, Offered_price = 102.11, result=0, Small=270, 
 N = 431, Offered_price = 103.16, result=1, Small=270, 
 N = 432, Offered_price = 115.79, result=0, Small=269, 
 N = 433, Offered_price = 108.42, result=0, Small=268, 
 N = 434, Offered_price = 117.89, result=0, Small=267, 
 N = 435, Offered_price = 103.16, result=0, Small=266, 
 N = 436, Offered_price = 105.26, result=0, Small=265, 
 N = 437, Offered_price = 109.47, result=0, Small=264, 
 N = 438, Offered_price = 116.84, result=0, Small=263, 
 N = 439, Offered_price = 118.95, result=1, Small=263, 
 N = 440, Offered_price = 118.95, result=0, Small=262, 
 N = 441, Offered_price = 120.00, result=0, Small=261, 
 N = 442, Offered_price = 111.58, result=0, Small=260, 
 N = 443, Offered_price = 114.74, result=0, Small=259, 
 N = 444, Offered_price = 100.00, result=1, Small=259, 
 N = 445, Offered_price = 110.53, result=1, Small=259, 
 N = 446, Offered_price = 113.68, result=0, Small=258, 
 N = 447, Offered_price = 110.53, result=0, Small=257, 
 N = 448, Offered_price = 107.37, result=1, Small=257, 
 N = 449, Offered_price = 101.05, result=1, Small=257, 
 N = 450, Offered_price = 106.32, result=1, Small=257, 
 N = 451, Offered_price = 112.63, result=0, Small=256, 
 N = 452, Offered_price = 101.05, result=1, Small=256, 
 N = 453, Offered_price = 101.05, result=1, Small=256, 
 N = 454, Offered_price = 101.05, result=0, Small=255, 
 N = 455, Offered_price = 106.32, result=1, Small=255, 
 N = 456, Offered_price = 118.95, result=0, Small=254, 
 N = 457, Offered_price = 107.37, result=1, Small=254, 
 N = 458, Offered_price = 115.79, result=0, Small=253, 
 N = 459, Offered_price = 117.89, result=0, Small=252, 
 N = 460, Offered_price = 116.84, result=0, Small=251, 
 N = 461, Offered_price = 120.00, result=0, Small=250, 
 N = 462, Offered_price = 106.32, result=1, Small=250, 
 N = 463, Offered_price = 109.47, result=0, Small=249, 
 N = 464, Offered_price = 114.74, result=0, Small=248, 
 N = 465, Offered_price = 104.21, result=1, Small=248, 
 N = 466, Offered_price = 108.42, result=1, Small=248, 
 N = 467, Offered_price = 106.32, result=1, Small=248, 
 N = 468, Offered_price = 107.37, result=0, Small=247, 
 N = 469, Offered_price = 108.42, result=0, Small=246, 
 N = 470, Offered_price = 111.58, result=0, Small=245, 
 N = 471, Offered_price = 105.26, result=0, Small=244, 
 N = 472, Offered_price = 104.21, result=1, Small=244, 
 N = 473, Offered_price = 113.68, result=0, Small=243, 
 N = 474, Offered_price = 106.32, result=1, Small=243, 
 N = 475, Offered_price = 110.53, result=1, Small=243, 
 N = 476, Offered_price = 104.21, result=1, Small=243, 
 N = 477, Offered_price = 100.00, result=1, Small=243, 
 N = 478, Offered_price = 106.32, result=0, Small=242, 
 N = 479, Offered_price = 110.53, result=0, Small=241, 
 N = 480, Offered_price = 104.21, result=1, Small=241, 
 N = 481, Offered_price = 118.95, result=0, Small=240, 
 N = 482, Offered_price = 104.21, result=1, Small=240, 
 N = 483, Offered_price = 117.89, result=0, Small=239, 
 N = 484, Offered_price = 112.63, result=1, Small=239, 
 N = 485, Offered_price = 112.63, result=0, Small=238, 
