Small Cup : 100 // 50
Large Cup : 105 // 60
Starting out with Budget =  100
 N = 267, Offered_price = 102.11, result=0, Small=-20, 
 N = 268, Offered_price = 104.74, result=0, Small=-21, 
 N = 269, Offered_price = 102.89, result=1, Small=-21, 
 N = 270, Offered_price = 101.84, result=0, Small=-22, 
 N = 271, Offered_price = 101.05, result=1, Small=-22, 
 N = 272, Offered_price = 103.42, result=0, Small=-23, 
 N = 273, Offered_price = 102.89, result=1, Small=-23, 
 N = 274, Offered_price = 103.95, result=0, Small=-24, 
 N = 275, Offered_price = 103.16, result=0, Small=-25, 
 N = 276, Offered_price = 101.58, result=1, Small=-25, 
 N = 277, Offered_price = 104.21, result=0, Small=-26, 
 N = 278, Offered_price = 101.58, result=1, Small=-26, 
 N = 279, Offered_price = 101.05, result=0, Small=-27, 
 N = 280, Offered_price = 101.58, result=1, Small=-27, 
 N = 281, Offered_price = 102.89, result=1, Small=-27, 
 N = 282, Offered_price = 101.58, result=1, Small=-27, 
 N = 283, Offered_price = 103.68, result=1, Small=-27, 
 N = 284, Offered_price = 104.47, result=0, Small=-28, 
 N = 285, Offered_price = 105.00, result=0, Small=-29, 
 N = 286, Offered_price = 101.58, result=1, Small=-29, 
 N = 287, Offered_price = 102.63, result=0, Small=-30, 
 N = 288, Offered_price = 101.58, result=0, Small=-31, 
 N = 289, Offered_price = 102.89, result=0, Small=-32, 
 N = 290, Offered_price = 102.11, result=1, Small=-32, 
 N = 291, Offered_price = 104.74, result=0, Small=-33, 
 N = 292, Offered_price = 102.37, result=1, Small=-33, 
 N = 293, Offered_price = 103.68, result=1, Small=-33, 
 N = 294, Offered_price = 101.84, result=1, Small=-33, 
 N = 295, Offered_price = 103.42, result=0, Small=-34, 
 N = 296, Offered_price = 103.95, result=0, Small=-35, 
 N = 297, Offered_price = 102.37, result=1, Small=-35, 
 N = 298, Offered_price = 103.68, result=0, Small=-36, 
 N = 299, Offered_price = 102.11, result=0, Small=-37, 
 N = 300, Offered_price = 104.21, result=0, Small=-38, 
 N = 301, Offered_price = 103.16, result=0, Small=-39, 
 N = 302, Offered_price = 101.84, result=0, Small=-40, 
 N = 303, Offered_price = 104.47, result=0, Small=-41, 
 N = 304, Offered_price = 105.00, result=0, Small=-42, 
 N = 305, Offered_price = 102.37, result=1, Small=-42, 
 N = 306, Offered_price = 102.63, result=1, Small=-42, 
 N = 307, Offered_price = 101.05, result=0, Small=-43, 
 N = 308, Offered_price = 104.74, result=0, Small=-44, 
 N = 309, Offered_price = 102.89, result=0, Small=-45, 
 N = 310, Offered_price = 102.37, result=1, Small=-45, 
 N = 311, Offered_price = 103.42, result=0, Small=-46, 
 N = 312, Offered_price = 102.63, result=1, Small=-46, 
 N = 313, Offered_price = 102.37, result=1, Small=-46, 
 N = 314, Offered_price = 103.95, result=1, Small=-46, 
 N = 315, Offered_price = 103.68, result=1, Small=-46, 
 N = 316, Offered_price = 102.11, result=1, Small=-46, 
 N = 317, Offered_price = 104.21, result=0, Small=-47, 
 N = 318, Offered_price = 102.37, result=0, Small=-48, 
 N = 319, Offered_price = 104.47, result=0, Small=-49, 
 N = 320, Offered_price = 105.00, result=0, Small=-50, 
 N = 321, Offered_price = 103.16, result=1, Small=-50, 
 N = 322, Offered_price = 103.95, result=0, Small=-51, 
 N = 323, Offered_price = 102.63, result=1, Small=-51, 
 N = 324, Offered_price = 101.84, result=1, Small=-51, 
 N = 325, Offered_price = 103.68, result=0, Small=-52, 
 N = 326, Offered_price = 104.74, result=0, Small=-53, 
 N = 327, Offered_price = 103.16, result=0, Small=-54, 
 N = 328, Offered_price = 102.11, result=1, Small=-54, 
 N = 329, Offered_price = 103.42, result=0, Small=-55, 
 N = 330, Offered_price = 102.63, result=0, Small=-56, 
 N = 331, Offered_price = 101.05, result=1, Small=-56, 
 N = 332, Offered_price = 102.89, result=0, Small=-57, 
 N = 333, Offered_price = 101.84, result=1, Small=-57, 
 N = 334, Offered_price = 100.00, result=1, Small=-57, 
 N = 335, Offered_price = 101.32, result=0, Small=-58, 
 N = 336, Offered_price = 100.53, result=1, Small=-58, 
 N = 337, Offered_price = 101.58, result=1, Small=-58, 
 N = 338, Offered_price = 102.11, result=1, Small=-58, 
 N = 339, Offered_price = 100.53, result=1, Small=-58, 
 N = 340, Offered_price = 104.47, result=0, Small=-59, 
 N = 341, Offered_price = 105.00, result=0, Small=-60, 
 N = 342, Offered_price = 104.21, result=0, Small=-61, 
 N = 343, Offered_price = 101.58, result=1, Small=-61, 
 N = 344, Offered_price = 103.95, result=0, Small=-62, 
 N = 345, Offered_price = 101.84, result=1, Small=-62, 
 N = 346, Offered_price = 101.05, result=1, Small=-62, 
 N = 347, Offered_price = 101.58, result=0, Small=-63, 
 N = 348, Offered_price = 103.68, result=0, Small=-64, 
 N = 349, Offered_price = 100.53, result=1, Small=-64, 
 N = 350, Offered_price = 104.74, result=0, Small=-65, 
 N = 351, Offered_price = 102.37, result=0, Small=-66, 
 N = 352, Offered_price = 102.11, result=1, Small=-66, 
 N = 353, Offered_price = 100.53, result=1, Small=-66, 
 N = 354, Offered_price = 103.42, result=0, Small=-67, 
 N = 355, Offered_price = 103.16, result=0, Small=-68, 
 N = 356, Offered_price = 101.84, result=1, Small=-68, 
 N = 357, Offered_price = 102.63, result=1, Small=-68, 
 N = 358, Offered_price = 100.53, result=0, Small=-69, 
 N = 359, Offered_price = 101.05, result=0, Small=-70, 
 N = 360, Offered_price = 102.89, result=1, Small=-70, 
 N = 361, Offered_price = 100.26, result=1, Small=-70, 
 N = 362, Offered_price = 102.11, result=1, Small=-70, 
 N = 363, Offered_price = 104.47, result=0, Small=-71, 
 N = 364, Offered_price = 105.00, result=0, Small=-72, 
 N = 365, Offered_price = 102.63, result=0, Small=-73, 
 N = 366, Offered_price = 104.21, result=1, Small=-73, 
 N = 367, Offered_price = 101.84, result=0, Small=-74, 
 N = 368, Offered_price = 100.26, result=1, Small=-74, 
 N = 369, Offered_price = 100.79, result=1, Small=-74, 
 N = 370, Offered_price = 102.89, result=0, Small=-75, 
 N = 371, Offered_price = 103.95, result=1, Small=-75, 
 N = 372, Offered_price = 100.26, result=1, Small=-75, 
 N = 373, Offered_price = 103.68, result=0, Small=-76, 
 N = 374, Offered_price = 104.74, result=0, Small=-77, 
 N = 375, Offered_price = 104.21, result=1, Small=-77, 
 N = 376, Offered_price = 100.79, result=1, Small=-77, 
 N = 377, Offered_price = 102.11, result=1, Small=-77, 
 N = 378, Offered_price = 100.26, result=1, Small=-77, 
 N = 379, Offered_price = 103.42, result=0, Small=-78, 
 N = 380, Offered_price = 103.95, result=1, Small=-78, 
 N = 381, Offered_price = 100.79, result=1, Small=-78, 
 N = 382, Offered_price = 100.26, result=1, Small=-78, 
 N = 383, Offered_price = 104.21, result=0, Small=-79, 
 N = 384, Offered_price = 103.16, result=1, Small=-79, 
 N = 385, Offered_price = 100.26, result=1, Small=-79, 
 N = 386, Offered_price = 100.79, result=1, Small=-79, 
 N = 387, Offered_price = 102.37, result=1, Small=-79, 
 N = 388, Offered_price = 103.95, result=1, Small=-79, 
