cost_type:  cups_gone
revenue_type:  profit
Small Cup : 100 // 50
Large Cup : 120 // 60
norm_min = min(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
norm_max = max(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
Starting out with Budget =  500
 N = 430, Offered_price = 102.11, result=1, Small=332, 
 N = 431, Offered_price = 102.11, result=1, Small=332, 
 N = 432, Offered_price = 102.11, result=1, Small=332, 
 N = 433, Offered_price = 102.11, result=1, Small=332, 
 N = 434, Offered_price = 102.11, result=1, Small=332, 
 N = 435, Offered_price = 102.11, result=0, Small=331, 
 N = 436, Offered_price = 120.00, result=0, Small=330, 
 N = 437, Offered_price = 111.58, result=0, Small=329, 
 N = 438, Offered_price = 108.42, result=1, Small=329, 
 N = 439, Offered_price = 108.42, result=1, Small=329, 
 N = 440, Offered_price = 108.42, result=0, Small=328, 
 N = 441, Offered_price = 110.53, result=1, Small=328, 
 N = 442, Offered_price = 110.53, result=1, Small=328, 
 N = 443, Offered_price = 110.53, result=1, Small=328, 
 N = 444, Offered_price = 110.53, result=0, Small=327, 
 N = 445, Offered_price = 112.63, result=1, Small=327, 
 N = 446, Offered_price = 112.63, result=1, Small=327, 
 N = 447, Offered_price = 112.63, result=1, Small=327, 
 N = 448, Offered_price = 112.63, result=1, Small=327, 
 N = 449, Offered_price = 112.63, result=0, Small=326, 
 N = 450, Offered_price = 116.84, result=1, Small=326, 
 N = 451, Offered_price = 116.84, result=0, Small=325, 
 N = 452, Offered_price = 104.21, result=1, Small=325, 
 N = 453, Offered_price = 100.00, result=1, Small=325, 
 N = 454, Offered_price = 105.26, result=0, Small=324, 
 N = 455, Offered_price = 118.95, result=0, Small=323, 
 N = 456, Offered_price = 104.21, result=1, Small=323, 
 N = 457, Offered_price = 117.89, result=0, Small=322, 
 N = 458, Offered_price = 115.79, result=0, Small=321, 
 N = 459, Offered_price = 114.74, result=1, Small=321, 
 N = 460, Offered_price = 114.74, result=0, Small=320, 
 N = 461, Offered_price = 104.21, result=0, Small=319, 
 N = 462, Offered_price = 113.68, result=0, Small=318, 
 N = 463, Offered_price = 109.47, result=0, Small=317, 
 N = 464, Offered_price = 120.00, result=0, Small=316, 
 N = 465, Offered_price = 107.37, result=1, Small=316, 
 N = 466, Offered_price = 112.63, result=1, Small=316, 
 N = 467, Offered_price = 112.63, result=1, Small=316, 
 N = 468, Offered_price = 112.63, result=0, Small=315, 
 N = 469, Offered_price = 106.32, result=0, Small=314, 
 N = 470, Offered_price = 107.37, result=1, Small=314, 
 N = 471, Offered_price = 111.58, result=0, Small=313, 
 N = 472, Offered_price = 116.84, result=0, Small=312, 
 N = 473, Offered_price = 107.37, result=1, Small=312, 
 N = 474, Offered_price = 107.37, result=1, Small=312, 
 N = 475, Offered_price = 107.37, result=1, Small=312, 
 N = 476, Offered_price = 107.37, result=0, Small=311, 
 N = 477, Offered_price = 110.53, result=1, Small=311, 
 N = 478, Offered_price = 110.53, result=0, Small=310, 
 N = 479, Offered_price = 108.42, result=0, Small=309, 
 N = 480, Offered_price = 118.95, result=1, Small=309, 
 N = 481, Offered_price = 118.95, result=0, Small=308, 
 N = 482, Offered_price = 114.74, result=1, Small=308, 
 N = 483, Offered_price = 114.74, result=0, Small=307, 
 N = 484, Offered_price = 117.89, result=0, Small=306, 
 N = 485, Offered_price = 113.68, result=1, Small=306, 
