 N = 140, Offered_price = 110.53, result=1, Small=38, Regret=117.47
 N = 141, Offered_price = 157.89, result=0, Small=37, Regret=118.47
 N = 142, Offered_price = 194.74, result=0, Small=36, Regret=119.47
 N = 143, Offered_price = 200.00, result=0, Small=35, Regret=120.47
 N = 144, Offered_price = 163.16, result=0, Small=34, Regret=121.47
 N = 145, Offered_price = 168.42, result=1, Small=34, Regret=121.79
 N = 146, Offered_price = 100.00, result=1, Small=34, Regret=122.79
 N = 147, Offered_price = 110.53, result=1, Small=34, Regret=123.68
 N = 148, Offered_price = 157.89, result=0, Small=33, Regret=124.68
 N = 149, Offered_price = 194.74, result=0, Small=32, Regret=125.68
 N = 150, Offered_price = 200.00, result=0, Small=31, Regret=126.68
 N = 151, Offered_price = 105.26, result=1, Small=31, Regret=127.63
 N = 152, Offered_price = 121.05, result=1, Small=31, Regret=128.42
 N = 153, Offered_price = 178.95, result=0, Small=30, Regret=129.42
 N = 154, Offered_price = 189.47, result=0, Small=29, Regret=130.42
 N = 155, Offered_price = 142.11, result=0, Small=28, Regret=131.42
 N = 156, Offered_price = 163.16, result=0, Small=27, Regret=132.42
 N = 157, Offered_price = 168.42, result=0, Small=26, Regret=133.42
 N = 158, Offered_price = 100.00, result=1, Small=26, Regret=134.42
 N = 159, Offered_price = 110.53, result=1, Small=26, Regret=135.32
 N = 160, Offered_price = 157.89, result=1, Small=26, Regret=135.74
 N = 161, Offered_price = 194.74, result=0, Small=25, Regret=136.74
 N = 162, Offered_price = 200.00, result=0, Small=24, Regret=137.74
 N = 163, Offered_price = 105.26, result=1, Small=24, Regret=138.68
 N = 164, Offered_price = 115.79, result=1, Small=24, Regret=139.53
 N = 165, Offered_price = 121.05, result=1, Small=24, Regret=140.32
 N = 166, Offered_price = 126.32, result=1, Small=24, Regret=141.05
 N = 167, Offered_price = 178.95, result=0, Small=23, Regret=142.05
 N = 168, Offered_price = 189.47, result=0, Small=22, Regret=143.05
 N = 169, Offered_price = 163.16, result=0, Small=21, Regret=144.05
 N = 170, Offered_price = 184.21, result=0, Small=20, Regret=145.05
 N = 171, Offered_price = 136.84, result=1, Small=20, Regret=145.68
 N = 172, Offered_price = 100.00, result=1, Small=20, Regret=146.68
 N = 173, Offered_price = 110.53, result=1, Small=20, Regret=147.58
 N = 174, Offered_price = 194.74, result=0, Small=19, Regret=148.58
 N = 175, Offered_price = 200.00, result=0, Small=18, Regret=149.58
 N = 176, Offered_price = 105.26, result=1, Small=18, Regret=150.53
 N = 177, Offered_price = 115.79, result=1, Small=18, Regret=151.37
 N = 178, Offered_price = 121.05, result=1, Small=18, Regret=152.16
 N = 179, Offered_price = 126.32, result=0, Small=17, Regret=153.16
 N = 180, Offered_price = 178.95, result=0, Small=16, Regret=154.16
 N = 181, Offered_price = 189.47, result=0, Small=15, Regret=155.16
 N = 182, Offered_price = 131.58, result=1, Small=15, Regret=155.84
